time,tps,cpuusage,memoryused,memorytotal,memoryfree,pingaverage,pingmedian,pingmin,pingmax,playeronline,playermax
1677373520211,20,0,472,3072,2599,0,0,0,0,0,32
1677373580193,20.02,0.28,516,3072,2555,0,0,0,0,0,32
1677373640194,20,0.08,618,3072,2453,0,0,0,0,0,32
1677373700194,20,0.07,671,3072,2400,0,0,0,0,0,32
1677373760193,20,0.06,726,3072,2345,0,0,0,0,0,32
1677373820192,20,0.06,784,3072,2287,0,0,0,0,0,32
1677373880192,20,0.06,910,3072,2161,0,0,0,0,0,32
1677373940191,20,0.07,548,3072,2523,0,0,0,0,0,32
1677374000193,20,0.05,597,3072,2474,0,0,0,0,0,32
1677374060192,20,0.06,642,3072,2429,0,0,0,0,0,32
1677374120206,20,0.06,689,3072,2382,0,0,0,0,0,32
1677374180192,20,0.06,737,3072,2334,0,0,0,0,0,32
1677374240192,20,0.06,783,3072,2288,0,0,0,0,0,32
1677374301307,20,0,1145,3072,1926,0,0,0,0,0,32
1677374361286,20.01,0.27,600,3072,2471,0,0,0,0,0,32
1677374408954,20,0,789,3072,2282,0,0,0,0,0,32
1677374468936,20,0.29,504,3072,2567,0,0,0,0,0,32
1677374528937,20,0.08,604,3072,2467,0,0,0,0,0,32
1677374588938,20,0.07,657,3072,2414,0,0,0,0,0,32
1677374648936,20,0.06,713,3072,2358,0,0,0,0,0,32
1677374708937,20,0.07,772,3072,2299,0,0,0,0,0,32
1677374768999,20,0.06,920,3072,2151,0,0,0,0,0,32
1677374828951,20,0.06,518,3072,2553,0,0,0,0,0,32
1677374888938,20,0.06,568,3072,2503,0,0,0,0,0,32
1677374948937,20,0.06,617,3072,2454,0,0,0,0,0,32
1677375008940,20,0.05,665,3072,2406,0,0,0,0,0,32
1677375068938,20,0.06,714,3072,2357,0,0,0,0,0,32
1677375128938,20,0.05,759,3072,2312,0,0,0,0,0,32
1677375188946,20,0.05,509,3072,2562,0,0,0,0,0,32
1677375248940,20,0.05,555,3072,2516,0,0,0,0,0,32
1677375308940,20,0.06,603,3072,2468,0,0,0,0,0,32
1677375368950,20,0.06,653,3072,2418,0,0,0,0,0,32
1677375428938,20,0.06,701,3072,2370,0,0,0,0,0,32
1677375488941,20,0.06,749,3072,2322,0,0,0,0,0,32
1677375548941,20,0.05,796,3072,2275,0,0,0,0,0,32
1677375608939,20,0.05,844,3072,2227,0,0,0,0,0,32
1677375668937,20,0.05,893,3072,2178,0,0,0,0,0,32
1677375728939,20,0.06,940,3072,2131,0,0,0,0,0,32
1677375788936,20,0.06,523,3072,2548,0,0,0,0,0,32
1677375894211,20,0,1045,3072,2026,0,0,0,0,0,32
1677376001383,20,0,512,3072,2559,0,0,0,0,0,32
1677376061362,20.02,0.29,1044,3072,2027,0,0,0,0,0,32
1677376155799,20,0,563,3072,2508,0,0,0,0,0,32
1677376215703,20.01,0.29,592,3072,2479,0,0,0,0,0,32
1677376275703,20,0.06,741,3072,2330,0,0,0,0,0,32
1677376335704,20,0.06,570,3072,2501,0,0,0,0,0,32
1677376395706,20,0.06,669,3072,2402,0,0,0,0,0,32
1677376455703,20,0.06,505,3072,2566,0,0,0,0,0,32
1677376515703,20,0.07,673,3072,2398,0,0,0,0,0,32
1677376575704,20,0.05,764,3072,2307,0,0,0,0,0,32
1677376635704,20,0.06,583,3072,2488,0,0,0,0,0,32
1677376695705,20,0.05,672,3072,2399,0,0,0,0,0,32
1677376755704,20,0.06,759,3072,2312,0,0,0,0,0,32
1677376815703,20,0.06,567,3072,2504,0,0,0,0,0,32
1677376875703,20,0.06,652,3072,2419,0,0,0,0,0,32
1677376935705,20,0.07,735,3072,2336,0,0,0,0,0,32
1677376995706,20,0.06,531,3072,2540,0,0,0,0,0,32
1677377055704,20,0.07,614,3072,2457,0,0,0,0,0,32
1677377115705,20,0.06,703,3072,2368,0,0,0,0,0,32
1677377175704,20,0.06,788,3072,2283,0,0,0,0,0,32
1677377235706,20,0.05,576,3072,2495,0,0,0,0,0,32
1677377295708,20,0.05,662,3072,2409,0,0,0,0,0,32
1677377355705,20,0.06,743,3072,2328,0,0,0,0,0,32
1677377415720,20,0.05,539,3072,2532,0,0,0,0,0,32
1677377475705,20,0.07,618,3072,2453,0,0,0,0,0,32
1677377535711,20,0.06,699,3072,2372,0,0,0,0,0,32
1677377595710,20,0.07,775,3072,2296,0,0,0,0,0,32
1677377655707,20,0.06,554,3072,2517,0,0,0,0,0,32
1677377715703,20,0.06,637,3072,2434,0,0,0,0,0,32
1677377775707,20,0.06,714,3072,2357,0,0,0,0,0,32
1677377879243,20,0,562,3072,2509,0,0,0,0,0,32
1677377939217,20.01,0.29,948,3072,2123,0,0,0,0,0,32
1677377999222,20,0.08,1076,3072,1995,0,0,0,0,0,32
1677378146538,20,0,488,3072,2583,0,0,0,0,0,32
1677378206497,20.01,0.3,832,3072,2239,0,0,0,0,0,32
1677378266494,20,0.07,1025,3072,2046,0,0,0,0,0,32
1677378326491,20,0.06,1131,3072,1940,0,0,0,0,0,32
1677378386492,20,0.05,1235,3072,1836,0,0,0,0,0,32
1677378446492,20,0.06,517,3072,2554,0,0,0,0,0,32
1677378506493,20,0.06,693,3072,2378,0,0,0,0,0,32
1677378566494,20,0.06,793,3072,2278,0,0,0,0,0,32
1677378626494,20,0.05,893,3072,2178,0,0,0,0,0,32
1677378686493,20,0.06,1000,3072,2071,0,0,0,0,0,32
1677378746495,20,0.06,1112,3072,1959,0,0,0,0,0,32
1677378806492,20,0.06,1214,3072,1857,0,0,0,0,0,32
1677378866493,20,0.06,527,3072,2544,0,0,0,0,0,32
1677378926492,20,0.06,613,3072,2458,0,0,0,0,0,32
1677379034603,20,0,904,3072,2167,0,0,0,0,0,32
1677379094583,20,0.24,463,3072,2608,0,0,0,0,0,32
1677379154591,20,0.11,689,3072,2382,0,0,0,0,0,32
1677379214596,20,0.05,757,3072,2314,0,0,0,0,0,32
1677379276054,20,0,518,3072,2553,0,0,0,0,0,32
1677379336015,20.01,0.29,1099,3072,1972,0,0,0,0,0,32
1677379396014,20,0.07,540,3072,2531,0,0,0,0,0,32
1677379467732,20,0,662,3072,2409,0,0,0,0,0,32
1677379527696,20.01,0.31,1194,3072,1877,0,0,0,0,0,32
1677379587700,20,0.07,1399,3072,1672,0,0,0,0,0,32
1677379647698,20,0.06,1521,3072,1550,0,0,0,0,0,32
1677379737168,20,0,349,3072,2722,0,0,0,0,0,32
1677379797146,20.01,0.3,579,3072,2492,0,0,0,0,0,32
1677379857146,20,0.06,707,3072,2364,0,0,0,0,0,32
1677380018999,20,0,330,3072,2741,0,0,0,0,0,32
1677380079346,20,0,666,3072,2405,0,0,0,0,0,32
1677380203286,20,0,591,3072,2480,0,0,0,0,0,32
1677380290587,20,0,844,3072,2227,0,0,0,0,0,32
1677380350556,20.01,0.31,691,3072,2380,0,0,0,0,0,32
1677380410558,20,0.07,876,3072,2195,0,0,0,0,0,32
1677380470556,20,0.07,954,3072,2117,0,0,0,0,0,32
1677380625178,20,0,337,3072,2734,0,0,0,0,0,32
1677380685164,20.02,0.26,611,3072,2460,0,0,0,0,0,32
1677380745163,20,0.05,751,3072,2320,0,0,0,0,0,32
1677380805166,20,0.05,850,3072,2221,0,0,0,0,0,32
1677380865162,20,0.05,948,3072,2123,0,0,0,0,0,32
1677380960015,20,0,385,3072,2686,0,0,0,0,0,32
1677381019990,20.02,0.29,715,3072,2356,0,0,0,0,0,32
1677381079990,20,0.07,894,3072,2177,0,0,0,0,0,32
1677381139990,20,0.06,492,3072,2579,0,0,0,0,0,32
1677381199991,20,0.06,575,3072,2496,0,0,0,0,0,32
1677381259988,20,0.07,659,3072,2412,0,0,0,0,0,32
1677381319989,20,0.06,820,3072,2251,0,0,0,0,0,32
1677381379990,20,0.06,898,3072,2173,0,0,0,0,0,32
1677381440017,20,0.06,513,3072,2558,0,0,0,0,0,32
1677381499988,20,0.05,593,3072,2478,0,0,0,0,0,32
1677381559989,20,0.06,670,3072,2401,0,0,0,0,0,32
1677381619990,20,0.06,748,3072,2323,0,0,0,0,0,32
1677381679990,20,0.06,825,3072,2246,0,0,0,0,0,32
1677381739992,20,0.07,902,3072,2169,0,0,0,0,0,32
1677381826581,20,0,475,3072,2596,0,0,0,0,0,32
1677381886560,20.01,0.28,1058,3072,2013,0,0,0,0,0,32
1677381946563,20,0.07,1216,3072,1855,0,0,0,0,0,32
1677382039126,20,0,484,3072,2587,0,0,0,0,0,32
1677382099106,20.01,0.27,688,3072,2383,0,0,0,0,0,32
1677382159106,20,0.06,806,3072,2265,0,0,0,0,0,32
1677382219113,20,0.06,868,3072,2203,0,0,0,0,0,32
1677382301575,20,0,418,3072,2653,0,0,0,0,0,32
1677382361551,20.01,0.27,494,3072,2577,0,0,0,0,0,32
1677382421551,20,0.07,592,3072,2479,0,0,0,0,0,32
1677382481545,20,0.06,644,3072,2427,0,0,0,0,0,32
1677382541547,20,0.06,698,3072,2373,0,0,0,0,0,32
1677382601545,20,0.05,755,3072,2316,0,0,0,0,0,32
1677382661543,20,0.06,876,3072,2195,0,0,0,0,0,32
1677382721562,20,0.05,922,3072,2149,0,0,0,0,0,32
1677382781548,20,0.06,973,3072,2098,0,0,0,0,0,32
1677382841544,20,0.05,491,3072,2580,0,0,0,0,0,32
1677382901543,20,0.05,535,3072,2536,0,0,0,0,0,32
1677382961547,20,0.05,579,3072,2492,0,0,0,0,0,32
1677383021559,20,0.06,624,3072,2447,0,0,0,0,0,32
1677383081546,20,0.04,667,3072,2404,0,0,0,0,0,32
1677383141547,20,0.06,711,3072,2360,0,0,0,0,0,32
1677383201544,20,0.05,755,3072,2316,0,0,0,0,0,32
1677383261547,20,0.05,800,3072,2271,0,0,0,0,0,32
1677383321549,20,0.05,843,3072,2228,0,0,0,0,0,32
1677383381544,20,0.06,887,3072,2184,0,0,0,0,0,32
1677383441546,20,0.06,931,3072,2140,0,0,0,0,0,32
1677383501545,20,0.05,978,3072,2093,0,0,0,0,0,32
1677383561547,20,0.06,495,3072,2576,0,0,0,0,0,32
