time,tps,cpuusage,memoryused,memorytotal,memoryfree,pingaverage,pingmedian,pingmin,pingmax,playeronline,playermax
1677119648707,20,0.06,1498,1852,353,25,25,25,25,1,32
1677119708702,20,0.05,1611,1852,240,0,0,0,0,0,32
1677119768701,20,0.05,1532,1852,319,0,0,0,0,0,32
1677119828706,20,0.04,1646,1852,205,0,0,0,0,0,32
1677119888703,20,0.04,1566,1852,285,0,0,0,0,0,32
1677119948701,20,0.05,1484,1852,367,0,0,0,0,0,32
1677120008704,20,0.05,1580,1852,271,0,0,0,0,0,32
1677120068702,20,0.05,1496,1852,355,0,0,0,0,0,32
1677120128701,20,0.04,1590,1852,261,0,0,0,0,0,32
1677120188711,20,0.05,1505,1852,346,0,0,0,0,0,32
1677120248704,20,0.04,1600,1852,251,0,0,0,0,0,32
1677120308703,20,0.05,1511,1852,340,0,0,0,0,0,32
1677120368702,20,0.04,1608,1852,243,0,0,0,0,0,32
1677120428706,20,0.05,1521,1852,330,0,0,0,0,0,32
1677120488710,20,0.05,1618,1852,233,0,0,0,0,0,32
1677120548710,20,0.05,1527,1852,324,0,0,0,0,0,32
1677120608701,20,0.05,1624,1852,227,0,0,0,0,0,32
1677120668704,20,0.04,1534,1852,317,0,0,0,0,0,32
1677120728701,20,0.05,1639,1852,212,0,0,0,0,1,32
1677120788706,20,0.07,1568,1852,283,13,13,13,13,1,32
1677120848701,20,0.05,1636,1852,215,14,14,14,14,1,32
1677120908707,20,0.06,1566,1852,285,14,14,14,14,1,32
1677120968701,20,0.07,1640,1852,211,14,14,14,14,1,32
1677121028702,20,0.05,1635,1852,216,15,15,15,15,1,32
1677121088702,20,0.05,1665,1852,186,16,16,16,16,1,32
1677121148702,20,0.05,1678,1852,173,16,16,16,16,1,32
1677121208700,20,0.09,772,2468,1695,19,19,19,19,1,32
1677121268702,20,0.1,812,2468,1655,16,16,16,16,1,32
1677121328704,20,0.06,800,2468,1667,17,17,17,17,1,32
1677121388713,20,0.06,1068,2468,1399,15,15,15,15,1,32
1677121448702,20,0.05,960,2468,1507,17,17,17,17,1,32
1677121508702,20,0.06,803,2468,1664,17,17,17,17,1,32
1677121568705,20,0.07,910,2468,1557,18,18,18,18,1,32
1677121628703,20,0.06,835,2468,1632,16,16,16,16,1,32
1677121688701,20,0.06,1229,2468,1238,16,16,16,16,1,32
1677121748703,20,0.06,788,2468,1679,15,15,15,15,1,32
1677121808701,20,0.05,1070,2468,1397,15,15,15,15,1,32
1677121868701,20,0.05,776,2468,1691,15,15,15,15,1,32
1677121928704,20,0.05,1045,2468,1422,15,15,15,15,1,32
1677121988702,20,0.06,1315,2468,1152,16,16,16,16,1,32
1677122048701,20,0.06,869,2468,1598,0,0,0,0,0,32
1677122108703,20,0.04,926,2468,1541,0,0,0,0,0,32
1677122168703,20,0.04,984,2468,1483,0,0,0,0,0,32
1677122228701,20,0.04,1043,2468,1424,0,0,0,0,0,32
1677122288702,20,0.04,1102,2468,1365,0,0,0,0,0,32
1677122348702,20,0.05,787,2468,1680,0,0,0,0,0,32
1677122408702,20,0.04,847,2468,1620,0,0,0,0,0,32
1677122468704,20,0.05,907,2468,1560,0,0,0,0,0,32
