time,tps,cpuusage,memoryused,memorytotal,memoryfree,pingaverage,pingmedian,pingmin,pingmax,playeronline,playermax
1677113770447,20,0.08,622,814,191,0,0,0,0,0,32
1677113830444,20,0.07,667,814,146,0,0,0,0,0,32
1677113890444,20,0.07,711,814,102,0,0,0,0,0,32
1677113950445,20,0.07,692,814,121,0,0,0,0,1,32
1677114010448,20,0.07,649,814,164,19,19,19,19,1,32
1677114070448,20,0.08,614,814,199,25,25,25,25,1,32
1677114130463,20,0.07,680,814,129,25,25,25,25,1,32
1677114190446,20,0.06,625,814,188,25,25,25,25,1,32
1677114250445,20,0.07,678,814,135,24,24,24,24,1,32
1677114310445,20,0.08,605,814,208,25,25,25,25,1,32
1677114370446,20,0.07,685,814,128,0,0,0,0,0,32
1677114430446,20,0.05,611,814,202,0,0,0,0,0,32
1677114490451,20,0.08,716,814,202,9,9,9,9,1,32
1677114550450,20,0.06,649,814,164,13,13,13,13,1,32
1677114610445,20,0.07,682,814,131,15,15,15,15,1,32
1677114670444,20,0.08,651,814,162,17,17,17,17,1,32
1677114730445,20,0.07,701,814,112,19,19,19,19,1,32
1677114790451,20,0.06,644,814,168,21,21,21,21,1,32
1677114850447,20,0.06,679,814,134,17,17,17,17,1,32
1677114910445,20,0.06,706,814,107,16,16,16,16,1,32
1677114970446,20,0.06,645,814,168,16,16,16,16,1,32
1677115030445,20,0.06,655,814,158,0,0,0,0,0,32
1677115090474,20,0.07,700,814,113,3,3,0,6,2,32
1677115150445,20,0.1,650,814,163,258,258,0,517,2,32
1677115210447,20,0.09,671,814,142,178,178,178,178,1,32
1677115270445,20,0.08,706,814,107,0,0,0,0,0,32
1677115330446,20,0.08,711,814,102,0,0,0,0,0,32
1677115390448,20,0.08,690,814,123,0,0,0,0,0,32
1677115450446,20,0.09,664,814,149,0,0,0,0,0,32
1677115510447,20,0.08,679,814,134,0,0,0,0,0,32
1677115570445,20,0.06,694,814,119,0,0,0,0,0,32
1677115630446,20,0.06,705,814,108,0,0,0,0,0,32
1677115690448,20,0.07,718,814,95,0,0,0,0,0,32
1677115750445,20,0.06,652,814,161,0,0,0,0,0,32
1677115810445,20,0.06,675,814,138,0,0,0,0,0,32
1677115870449,20,0.05,692,814,121,0,0,0,0,0,32
1677115930444,20,0.06,713,814,100,0,0,0,0,0,32
1677115990444,20,0.07,660,814,153,0,0,0,0,0,32
1677116050451,20,0.06,670,814,143,0,0,0,0,0,32
1677116110453,20,0.09,684,814,129,0,0,0,0,0,32
1677116170448,20,0.08,699,814,114,0,0,0,0,0,32
1677116230444,20,0.07,718,814,95,0,0,0,0,0,32
1677116290448,20,0.06,658,814,155,0,0,0,0,0,32
1677116350447,20,0.09,682,814,130,0,0,0,0,0,32
1677116410446,20,0.09,721,814,92,0,0,0,0,0,32
1677116470445,20,0.09,676,814,137,0,0,0,0,0,32
1677116530457,20,0.09,695,814,118,0,0,0,0,0,32
1677116590453,20,0.08,722,814,91,0,0,0,0,0,32
1677116650450,20,0.07,656,814,157,0,0,0,0,0,32
1677116710450,20,0.06,678,814,135,0,0,0,0,0,32
1677116770445,20,0.06,699,814,114,0,0,0,0,0,32
1677116830450,20,0.06,648,814,165,0,0,0,0,0,32
1677116890448,20,0.08,676,814,137,0,0,0,0,0,32
1677116950447,20,0.08,699,814,114,0,0,0,0,0,32
1677117010447,20,0.06,653,814,160,0,0,0,0,0,32
1677117070446,20,0.05,680,814,133,0,0,0,0,0,32
1677117130445,20,0.05,710,814,103,0,0,0,0,0,32
1677117190445,20,0.06,665,814,148,0,0,0,0,0,32
1677117250446,20,0.05,696,814,117,0,0,0,0,0,32
1677117310445,20,0.05,720,814,93,0,0,0,0,0,32
1677117370445,20,0.06,676,814,137,0,0,0,0,0,32
1677117430445,20,0.05,705,814,108,0,0,0,0,0,32
1677117490445,20,0.05,670,814,143,0,0,0,0,0,32
1677117550446,20,0.05,703,814,110,0,0,0,0,0,32
1677117610449,20,0.05,667,814,146,0,0,0,0,0,32
1677117670453,20,0.06,723,814,90,0,0,0,0,0,32
1677117730446,20,0.06,680,814,133,0,0,0,0,0,32
1677117790446,20,0.06,721,814,91,0,0,0,0,0,32
1677117850445,20,0.06,680,814,133,0,0,0,0,0,32
1677117910445,20,0.07,705,814,108,0,0,0,0,0,32
1677117970445,20,0.05,657,814,156,0,0,0,0,0,32
1677118030444,20,0.05,690,814,123,0,0,0,0,0,32
1677118090446,20,0.05,651,814,162,0,0,0,0,0,32
1677118150448,20,0.05,678,814,135,0,0,0,0,0,32
1677118210446,20,0.05,717,814,96,0,0,0,0,0,32
1677118270446,20,0.05,678,814,135,0,0,0,0,0,32
1677118330445,20,0.05,709,814,104,0,0,0,0,0,32
1677118390446,20,0.05,679,814,134,0,0,0,0,0,32
1677118450445,20,0.05,710,814,103,0,0,0,0,0,32
1677118510446,20,0.05,667,814,146,0,0,0,0,0,32
1677118570446,20,0.05,703,814,110,0,0,0,0,0,32
1677118630446,20,0.05,667,814,146,0,0,0,0,0,32
1677118690444,20,0.05,708,814,105,0,0,0,0,0,32
1677118750444,20,0.05,673,814,140,0,0,0,0,0,32
1677118810448,20,0.06,716,814,97,0,0,0,0,0,32
1677118870445,20,0.05,691,814,122,0,0,0,0,0,32
1677118930456,20,0.07,657,814,156,0,0,0,0,0,32
1677118990447,20,0.04,704,814,109,0,0,0,0,0,32
1677119050451,20,0.05,664,814,149,0,0,0,0,0,32
1677119110446,20,0.05,694,814,119,0,0,0,0,0,32
1677119170449,20,0.05,655,814,158,0,0,0,0,0,32
1677119230445,20,0.06,685,814,128,0,0,0,0,0,32
1677119290445,20,0.06,704,814,109,0,0,0,0,0,32
1677119350445,20,0.05,668,814,145,0,0,0,0,0,32
1677119410445,20,0.05,706,814,107,0,0,0,0,0,32
1677119470444,20,0.06,676,814,137,0,0,0,0,0,32
1677119530448,20,0.07,714,814,99,0,0,0,0,0,32
1677119590445,20,0.06,661,814,152,0,0,0,0,0,32
1677119650445,20,0.06,701,814,112,0,0,0,0,0,32
1677119710444,20,0.05,671,814,142,0,0,0,0,0,32
1677119770450,20,0.05,714,814,99,0,0,0,0,0,32
1677119830446,20,0.04,696,814,117,0,0,0,0,0,32
1677119890447,20,0.04,679,814,134,0,0,0,0,0,32
1677119950459,20,0.05,720,814,93,0,0,0,0,0,32
1677120010445,20,0.05,708,814,105,0,0,0,0,0,32
1677120070446,20,0.05,705,814,108,0,0,0,0,0,32
1677120130447,20,0.04,690,814,123,0,0,0,0,0,32
1677120190446,20,0.05,689,814,124,0,0,0,0,0,32
1677120250445,20,0.04,671,814,142,0,0,0,0,0,32
1677120310447,20,0.05,721,814,92,0,0,0,0,0,32
1677120370445,20,0.04,707,814,106,0,0,0,0,0,32
1677120430446,20,0.05,688,814,125,0,0,0,0,0,32
1677120490448,20,0.05,677,814,136,0,0,0,0,0,32
1677120550452,20,0.05,665,814,148,0,0,0,0,0,32
1677120610446,20,0.05,707,814,106,0,0,0,0,0,32
1677120670446,20,0.04,685,814,128,0,0,0,0,0,32
1677120730444,20,0.06,669,814,144,0,0,0,0,0,32
1677120790445,20,0.07,661,814,152,0,0,0,0,0,32
1677120850444,20,0.05,705,814,108,0,0,0,0,0,32
1677120910447,20,0.06,692,814,121,0,0,0,0,0,32
1677120970444,20,0.07,676,814,137,0,0,0,0,0,32
1677121030446,20,0.05,667,814,146,0,0,0,0,0,32
1677121090447,20,0.05,720,814,93,0,0,0,0,0,32
1677121150444,20,0.05,713,814,100,0,0,0,0,0,32
1677121210446,20,0.1,715,814,98,0,0,0,0,0,32
1677121270451,20,0.1,716,814,97,0,0,0,0,0,32
1677121330448,20,0.07,710,814,103,0,0,0,0,0,32
1677121390444,20,0.05,705,814,108,0,0,0,0,0,32
1677121450452,20,0.05,693,814,120,0,0,0,0,0,32
1677121510449,20,0.06,685,814,128,0,0,0,0,0,32
1677121570445,20,0.07,673,814,140,0,0,0,0,0,32
1677121630445,20,0.06,720,814,93,0,0,0,0,0,32
1677121690448,20,0.06,719,814,94,0,0,0,0,0,32
1677121750445,20,0.06,713,814,100,0,0,0,0,0,32
1677121810445,20,0.05,704,814,109,0,0,0,0,0,32
1677121870446,20,0.05,703,814,110,0,0,0,0,0,32
1677121930446,20,0.05,702,814,111,0,0,0,0,0,32
1677121990445,20,0.06,712,814,101,0,0,0,0,0,32
1677122050447,20,0.06,711,814,102,0,0,0,0,0,32
1677122110444,20,0.04,711,814,102,0,0,0,0,0,32
1677122170446,20,0.04,710,814,103,0,0,0,0,0,32
1677122230444,20,0.04,708,814,105,0,0,0,0,0,32
1677122290448,20,0.04,716,814,97,0,0,0,0,0,32
1677122350445,20,0.05,719,814,94,0,0,0,0,0,32
1677122410446,20,0.04,681,814,132,0,0,0,0,0,32
1677122470445,20,0.05,711,814,101,0,0,0,0,0,32
1677122530445,20,0.04,677,814,136,0,0,0,0,0,32
1677122590445,20,0.05,683,814,130,0,0,0,0,0,32
1677122650445,20,0.05,701,814,112,0,0,0,0,0,32
1677122710445,20,0.04,711,814,102,0,0,0,0,0,32
